dataset_id,country,longitude,latitude,planting_date,crop,N_fertilizer,P_fertilizer,K_fertilizer,yield,harvest_date,Total_rain,N_rain_days,N_dry_days,rain.max,rain.av,rain.30,rain.60,rain.90,rain_end,N_days_bFRAP,Tmean,therma_sum30,therma_sum60,therma_sum90,therma_sum100,therma_sum,soil_N,soil_sand,soil_silt,soil_clay,soil_phh2o,soil_SOC,Tmean.1,TMIN,TMAX,SRAD,tmax (°C),precipitation (mm)
doi_10.18167_DVN1_DLTQWR,Kenya,37.75,-0.75,2005-01-01,maize,60.0,0.0,0.0,1870.0,2005-05-01,204.868881225586,13,108,67.7424011230469,1.69313124979823,13.9272909164429,13.5852003097534,33.0417318344116,144.314658164978,30,24.4214876033058,705,1447,771,2453,2955,0.094,35.8333333333333,21.9333333333333,42.2333333333333,6.58333333333333,0.766666666666667,24.4214876033058,19.1404958677686,30.4297520661157,23.1759250165289,26.582437133789085,7.48443603515625
doi_10.18167_DVN1_DLTQWR,Kenya,37.75,-0.75,2006-01-01,maize,60.0,0.0,0.0,1680.0,2006-05-01,404.45107293129,24,97,93.1258544921875,3.34257085067182,12.5596022605896,18.0600469112396,88.0419511795044,285.789472579956,2,23.9669421487603,700,1443,747,2410,2900,0.094,35.8333333333333,21.9333333333333,42.2333333333333,6.58333333333333,0.766666666666667,23.9669421487603,19.1487603305785,29.5702479338843,21.921483322314,26.582437133789085,7.48443603515625
doi_10.18167_DVN1_DLTQWR,Kenya,37.75,-0.75,2007-01-01,maize,60.0,0.0,0.0,1740.0,2007-05-01,297.90288901329,17,104,42.6581993103027,2.46200734721728,29.9823348522186,25.2749395370483,55.9614601135254,186.684154510498,3,23.9834710743802,691,1420,769,2399,2902,0.094,35.8333333333333,21.9333333333333,42.2333333333333,6.58333333333333,0.766666666666667,23.9834710743802,19.099173553719,29.5537190082645,22.0870822561983,26.582437133789085,7.48443603515625
doi_10.18167_DVN1_DLTQWR,Kenya,37.75,-0.75,2005-01-01,maize,0.0,0.0,0.0,1300.0,2005-05-01,204.868881225586,13,108,67.7424011230469,1.69313124979823,13.9272909164429,13.5852003097534,33.0417318344116,144.314658164978,30,24.4214876033058,705,1447,771,2453,2955,0.094,35.8333333333333,21.9333333333333,42.2333333333333,6.58333333333333,0.766666666666667,24.4214876033058,19.1404958677686,30.4297520661157,23.1759250165289,26.582437133789085,7.48443603515625
doi_10.18167_DVN1_DLTQWR,Kenya,37.75,-0.75,2006-01-01,maize,0.0,0.0,0.0,1360.0,2006-05-01,404.45107293129,24,97,93.1258544921875,3.34257085067182,12.5596022605896,18.0600469112396,88.0419511795044,285.789472579956,2,23.9669421487603,700,1443,747,2410,2900,0.094,35.8333333333333,21.9333333333333,42.2333333333333,6.58333333333333,0.766666666666667,23.9669421487603,19.1487603305785,29.5702479338843,21.921483322314,26.582437133789085,7.48443603515625
doi_10.18167_DVN1_DLTQWR,Kenya,37.75,-0.75,2007-01-01,maize,0.0,0.0,0.0,1730.0,2007-05-01,297.90288901329,17,104,42.6581993103027,2.46200734721728,29.9823348522186,25.2749395370483,55.9614601135254,186.684154510498,3,23.9834710743802,691,1420,769,2399,2902,0.094,35.8333333333333,21.9333333333333,42.2333333333333,6.58333333333333,0.766666666666667,23.9834710743802,19.099173553719,29.5537190082645,22.0870822561983,26.582437133789085,7.48443603515625
doi_10.18167_DVN1_DLTQWR,Zimbabwe,28.5166666666667,-20.3833333333333,2005-01-01,maize,50.0,0.0,0.0,2616.0,2005-05-01,207.162120342255,20,101,28.3006820678711,1.71208363919219,119.371417045593,28.4092826843262,28.9364738464355,30.4449467658997,15,20.4793388429752,665,1314,583,2095,2478,0.0685,32.7833333333333,31.8,35.4333333333333,7.53333333333333,0.725,20.4793388429752,15.6694214876033,26.6446280991736,21.956229231405,27.539468383789085,14.743804931640625
doi_10.18167_DVN1_DLTQWR,Zimbabwe,28.5166666666667,-20.3833333333333,2006-01-01,maize,50.0,0.0,0.0,2721.0,2006-05-01,413.351505756378,35,86,38.2240867614746,3.41612814674693,159.753376960754,206.47912979126,25.8824882507324,21.2365107536316,6,18.8512396694215,608,1209,547,1925,2281,0.0685,32.7833333333333,31.8,35.4333333333333,7.53333333333333,0.725,18.8512396694215,14.8842975206612,23.7851239669421,19.4383442892562,27.539468383789085,14.743804931640625
doi_10.18167_DVN1_DLTQWR,Zimbabwe,28.4,-20.4333333333333,2005-01-01,maize,50.0,0.0,0.0,203.0,2005-05-01,195.861428022385,17,104,31.988037109375,1.6186894877883,109.440534114838,24.7622516155243,31.5511860847473,30.1074562072754,15,20.5702479338843,672,1325,583,2106,2489,0.0468333333333333,68.3333333333333,13.3666666666667,18.2833333333333,5.98333333333333,0.555,20.5702479338843,15.504132231405,26.9256198347107,21.9712385206612,28.648843383789085,19.306182861328125
doi_10.18167_DVN1_DLTQWR,Zimbabwe,28.4,-20.4333333333333,2006-01-01,maize,50.0,0.0,0.0,1262.0,2006-05-01,432.995553970337,32,89,36.9149780273438,3.57847565264741,170.088611602783,219.403695106506,24.300313949585,19.2029333114624,6,18.9917355371901,617,1221,547,1942,2298,0.0468333333333333,68.3333333333333,13.3666666666667,18.2833333333333,5.98333333333333,0.555,18.9917355371901,14.7107438016529,24.0909090909091,19.5353365785124,28.648843383789085,19.306182861328125
doi_10.18167_DVN1_DLTQWR,Zimbabwe,28.5166666666667,-20.3833333333333,2007-01-01,maize,20.0,0.0,0.0,676.0,2007-05-01,230.146779060364,18,103,24.1399478912354,1.90203949636664,39.9391088485718,55.035936832428,98.961811542511,36.209921836853,1,19.9090909090909,604,1243,556,2036,2409,0.0685,32.7833333333333,31.8,35.4333333333333,7.53333333333333,0.725,19.9090909090909,15.0495867768595,25.7438016528926,22.0723759173554,27.539468383789085,14.743804931640625
doi_10.18167_DVN1_DLTQWR,Zimbabwe,28.5166666666667,-20.3833333333333,2008-01-01,maize,20.0,0.0,0.0,1504.0,2008-04-30,180.592611074448,20,101,32.2420501708984,1.49250091797064,127.507421255112,19.1319065093994,13.2707982063293,20.6824851036072,4,18.6198347107438,573,1156,545,1904,2253,0.0685,32.7833333333333,31.8,35.4333333333333,7.53333333333333,0.725,18.6198347107438,13.9090909090909,24.2644628099174,21.5401792231405,27.539468383789085,14.743804931640625
doi_10.18167_DVN1_DLTQWR,Malawi,34.8833333333333,-14.9333333333333,2009-01-01,maize,69.0,9.182334937,0.0,2903.0,2009-05-01,568.40299487114,50,71,43.8047523498535,4.69754541215818,285.598400831223,131.269452095032,141.002173423767,10.5329685211182,1,21.9256198347107,691,1367,655,2229,2653,0.0665,69.1666666666667,7.06666666666667,23.7666666666667,6.36666666666667,0.75,21.9256198347107,19.0826446280992,26.4462809917355,20.1353298512397,32.244546508789085,1.300811767578125
doi_10.18167_DVN1_DLTQWR,Malawi,34.8833333333333,-14.9333333333333,2010-01-01,maize,69.0,9.182334937,0.0,1787.0,2010-05-01,620.05691576004,47,74,36.0213279724121,5.12443732033091,149.558797836304,350.443446874619,99.9315941333771,20.123076915741,5,23.297520661157,736,1429,724,2353,2819,0.0665,69.1666666666667,7.06666666666667,23.7666666666667,6.36666666666667,0.75,23.297520661157,20.2148760330579,27.5867768595041,19.2370298099174,32.244546508789085,1.300811767578125
doi_10.18167_DVN1_DLTQWR,Malawi,34.8833333333333,-14.9333333333333,2011-01-01,maize,69.0,9.182334937,0.0,2550.0,2011-05-01,514.805742263794,43,78,37.0288887023926,4.25459291127102,258.104034423828,125.956064224243,103.904584884644,26.8410587310791,4,22.6611570247934,693,1368,705,2286,2742,0.0665,69.1666666666667,7.06666666666667,23.7666666666667,6.36666666666667,0.75,22.6611570247934,19.4380165289256,27.0247933884298,20.284414661157,32.244546508789085,1.300811767578125
doi_10.18167_DVN1_DLTQWR,Malawi,34.7333333333333,-14.9666666666667,2009-01-01,maize,69.0,9.182334937,0.0,2418.0,2009-05-01,635.423410415649,45,76,43.3639373779297,5.25143314393099,315.769899845123,137.381244659424,160.679988384247,21.5922775268555,1,19.504132231405,616,1219,579,1986,2360,0.0761666666666667,67.7833333333333,7.3,24.9166666666667,5.83333333333333,0.786666666666667,19.504132231405,16.7768595041322,23.7190082644628,19.874366,32.244546508789085,1.300811767578125
doi_10.18167_DVN1_DLTQWR,Malawi,34.7333333333333,-14.9666666666667,2010-01-01,maize,69.0,9.182334937,0.0,2665.0,2010-05-01,743.441751480103,47,74,36.9288673400879,6.14414670644713,178.720239162445,408.480303287506,106.893741607666,49.3474674224854,3,20.5537190082645,637,1257,633,2081,2487,0.0761666666666667,67.7833333333333,7.3,24.9166666666667,5.83333333333333,0.786666666666667,20.5537190082645,17.6776859504132,24.495867768595,19.0358494132231,32.244546508789085,1.300811767578125
doi_10.18167_DVN1_DLTQWR,Malawi,34.7333333333333,-14.9666666666667,2011-01-01,maize,69.0,9.182334937,0.0,2482.0,2011-05-01,615.004368782043,38,83,50.3608512878418,5.0826807337359,308.287693023682,126.044017791748,124.605588912964,56.0670690536499,3,20.0909090909091,621,1220,617,2032,2431,0.0761666666666667,67.7833333333333,7.3,24.9166666666667,5.83333333333333,0.786666666666667,20.0909090909091,17.1404958677686,24.1818181818182,20.2018661983471,32.244546508789085,1.300811767578125
doi_10.18167_DVN1_DLTQWR,Kenya,34.4,0.1,2005-01-01,maize,60.0,60.0,0.0,6300.0,2005-05-01,472.680370807648,50,71,23.6791687011719,3.90644934551775,50.7616190910339,57.9218466281891,142.171935081482,221.824970006943,25,22.1900826446281,648,1349,695,2229,2685,0.188666666666667,20.7166666666667,21.9,52.4666666666667,5.65,1.57833333333333,22.1900826446281,17.495867768595,28.801652892562,22.7591871239669,27.680093383789085,0.0
doi_10.18167_DVN1_DLTQWR,Kenya,34.4,0.1,2006-01-01,maize,60.0,60.0,0.0,3910.0,2006-05-01,636.979344367981,65,56,29.2321224212646,5.26429210221472,46.74391746521,76.3062036037445,199.217312812805,314.711910486221,10,21.7603305785124,677,1361,658,2199,2633,0.188666666666667,20.7166666666667,21.9,52.4666666666667,5.65,1.57833333333333,21.7603305785124,17.2809917355372,28.1239669421488,22.1542021570248,27.680093383789085,0.0
